Code,Name,Description,Category,url,status,EnumName
GOVL,local government office,"a facility housing local governmental offices, usually a city, town, or village hall",S,,active,LOCAL_GOVERNMENT_OFFICE
LCTY,locality,a minor area or place of unspecified or mixed character and indefinite boundaries,L,,active,LOCALITY
LOCK,lock(s),a basin in a waterway with gates at each end by means of which vessels are passed from one water level to another,S,,active,LOCK_S
CMPL,logging camp,a camp used by loggers,S,,active,LOGGING_CAMP
STMSB,lost river,"a surface stream that disappears into an underground channel, or dries up in an arid area",H,,active,LOST_RIVER
MVA,maneuver area,a tract of land where military field exercises are carried out,L,,active,MANEUVER_AREA
ISLM,mangrove island,a mangrove swamp surrounded by a waterbody,T,,active,MANGROVE_ISLAND
MGV,mangrove swamp,a tropical tidal mud flat characterized by mangrove vegetation,H,,active,MANGROVE_SWAMP
MAR,marina,"a harbor facility for small boats, yachts, etc.",S,,active,MARINA
CHNM,marine channel,that part of a body of water deep enough for navigation through an area otherwise not suitable,H,,active,MARINE_CHANNEL
SCHN,maritime school,a school at which maritime sciences form the core of the curriculum,S,,active,MARITIME_SCHOOL
MKT,market,a place where goods are bought and sold at regular intervals,S,,active,MARKET
MRSH,marsh(es),a wetland dominated by grass-like vegetation,H,,active,MARSH_ES
MDW,meadow,"a small, poorly drained area dominated by grassy vegetation",V,,active,MEADOW
NKM,meander neck,a narrow strip of land between the two limbs of a meander loop at its narrowest point,T,,active,MEANDER_NECK
CTRM,medical center,"a complex of health care buildings including two or more of the following: hospital, medical school, clinic, pharmacy, doctor's offices, etc.",S,,active,MEDICAL_CENTER
MESA,mesa(s),"a flat-topped, isolated elevation with steep slopes on all sides, less extensive than a plateau",T,,active,MESA_S
STNM,meteorological station,a station at which weather elements are recorded,S,,active,METEOROLOGICAL_STATION
MILB,military base,"a place used by an army or other armed service for storing arms and supplies, and for accommodating and training troops, a base from which operations can be initiated",L,,active,MILITARY_BASE
INSM,military installation,a facility for use of and control by armed forces,S,,active,MILITARY_INSTALLATION
SCHM,military school,a school at which military science forms the core of the curriculum,S,,active,MILITARY_SCHOOL
ML,mill(s),"a building housing machines for transforming, shaping, finishing, grinding, or extracting products",S,,active,MILL_S
MN,mine(s),a site where mineral ores are extracted from the ground by excavating surface pits and subterranean passages,S,,active,MINE_S
MNA,mining area,an area of mine sites where minerals and ores are extracted,L,,active,MINING_AREA
CMPMN,mining camp,a camp used by miners,S,,active,MINING_CAMP
MSSN,mission,"a place characterized by dwellings, school, church, hospital and other facilities operated by a religious group for the purpose of providing charitable services and to propagate religion",S,,active,MISSION
MOLE,mole,a massive structure of masonry or large stones serving as a pier or breakwater,S,,active,MOLE
MSTY,monastery,a building and grounds where a community of monks lives in seclusion,S,,active,MONASTERY
MNMT,monument,a commemorative structure or statue,S,,active,MONUMENT
MOOR,moor(s),an area of open ground overlaid with wet peaty soils,H,,active,MOOR_S
MRN,moraine,"a mound, ridge, or other accumulation of glacial till",T,,active,MORAINE
MSQE,mosque,a building for public Islamic worship,S,,active,MOSQUE
MND,mound(s),"a low, isolated, rounded hill",T,,active,MOUND_S
MT,mountain,"an elevation standing high above the surrounding area with small summit area, steep slopes and local relief of 300m or more",T,,active,MOUNTAIN
MTS,mountains,a mountain range or a group of mountains or high ridges,T,,active,MOUNTAINS
FLTM,mud flat(s),"a relatively level area of mud either between high and low tide lines, or subject to flooding",H,,active,MUD_FLAT_S
MFGM,munitions plant,a factory where ammunition is made,S,,active,MUNITIONS_PLANT
MUS,museum,a building where objects of permanent interest in one or more of the arts and sciences are preserved and exhibited,S,,active,MUSEUM
NRWS,narrows,"a navigable narrow part of a bay, strait, river, etc.",H,,active,NARROWS
TNLN,natural tunnel,a cave that is open at both ends,R,,active,NATURAL_TUNNEL
RESN,nature reserve,an area reserved for the maintenance of a natural habitat,L,,active,NATURE_RESERVE
NVB,naval base,"an area used to store supplies, provide barracks for troops and naval personnel, a port for naval vessels, and from which operations are initiated",L,,active,NAVAL_BASE
CNLN,navigation canal(s),a watercourse constructed for navigation of vessels,H,,active,NAVIGATION_CANAL_S
CHNN,navigation channel,a buoyed channel of sufficient depth for the safe navigation of vessels,H,,active,NAVIGATION_CHANNEL
MNNI,nickel mine(s),a mine where nickel ore is extracted,S,,active,NICKEL_MINE_S
NOV,novitiate,a religious house or school where novices are trained,S,,active,NOVITIATE
PSN,nuclear power station,nuclear power station,S,,active,NUCLEAR_POWER_STATION
NTK,nunatak,a rock or mountain peak protruding through glacial ice,T,,active,NUNATAK
NTKS,nunataks,rocks or mountain peaks protruding through glacial ice,T,,active,NUNATAKS
NSY,nursery(-ies),a place where plants are propagated for transplanting or grafting,S,,active,NURSERY_IES
OAS,oasis(-es),an area in a desert made productive by the availability of water,L,,active,OASIS_ES
OBPT,observation point,a wildlife or scenic observation point,S,,active,OBSERVATION_POINT
OBS,observatory,a facility equipped for observation of atmospheric or space phenomena,S,,active,OBSERVATORY
OCN,ocean,one of the major divisions of the vast expanse of salt water covering part of the earth,H,,active,OCEAN
BLDO,office building,commercial building where business and/or services are conducted,S,,active,OFFICE_BUILDING
CMPO,oil camp,a camp used by oilfield workers,S,,active,OIL_CAMP
ESTO,oil palm plantation,an estate specializing in the cultivation of oil palm trees,S,,active,OIL_PALM_PLANTATION
OILP,oil pipeline,a pipeline used for transporting oil,R,,active,OIL_PIPELINE
OILJ,oil pipeline junction,a section of an oil pipeline where two or more pipes join together,S,,active,OIL_PIPELINE_JUNCTION
TRMO,oil pipeline terminal,a tank farm or loading facility at the end of an oil pipeline,S,,active,OIL_PIPELINE_TERMINAL
PMPO,oil pumping station,a facility for pumping oil through a pipeline,S,,active,OIL_PUMPING_STATION
OILR,oil refinery,a facility for converting crude oil into refined petroleum products,S,,active,OIL_REFINERY
OILW,oil well,a well from which oil may be pumped,S,,active,OIL_WELL
OILF,oilfield,an area containing a subterranean store of petroleum of economic value,L,,active,OILFIELD
GRVO,olive grove,a planting of olive trees,V,,active,OLIVE_GROVE
MLO,olive oil mill,a mill where oil is extracted from olives,S,,active,OLIVE_OIL_MILL
OCH,orchard(s),a planting of fruit or nut trees,V,,active,ORCHARD_S
MLM,ore treatment plant,a facility for improving the metal content of ore by concentration,S,,active,ORE_TREATMENT_PLANT
OVF,overfalls,an area of breaking waves caused by the meeting of currents or by waves moving against the current,H,,active,OVERFALLS
LKO,oxbow lake,a crescent-shaped lake commonly found adjacent to meandering streams,H,,active,OXBOW_LAKE
PGDA,pagoda,"a tower-like storied structure, usually a Buddhist shrine",S,,active,PAGODA
PAL,palace,"a large stately house, often a royal or presidential residence",S,,active,PALACE
GRVP,palm grove,a planting of palm trees,V,,active,PALM_GROVE
RESP,palm tree reserve,an area of palm trees where use is controlled,L,,active,PALM_TREE_RESERVE
PAN,pan,"a near-level shallow, natural depression or basin, usually containing an intermittent lake, pond, or pool",T,,active,PAN
PANS,pans,"a near-level shallow, natural depression or basin, usually containing an intermittent lake, pond, or pool",T,,active,PANS
PRSH,parish,an ecclesiastical district,A,,active,PARISH
PRK,park,"an area, often of forested land, maintained as a place of beauty, or for recreation",L,,active,PARK
PRKGT,park gate,a controlled access to a park,S,,active,PARK_GATE
PRKHQ,park headquarters,a park administrative facility,S,,active,PARK_HEADQUARTERS
GARG,parking garage,a building or underground facility used exclusively for parking vehicles,S,,active,PARKING_GARAGE
PKLT,parking lot,an area used for parking vehicles,S,,active,PARKING_LOT
PASS,pass,"a break in a mountain range or other high obstruction, used for transportation from one side to the other [See also gap]",T,,active,PASS
PSTP,patrol post,a post from which patrols are sent out,S,,active,PATROL_POST
PK,peak,"a pointed elevation atop a mountain, ridge, or other hypsographic feature",T,,active,PEAK
PKS,peaks,"pointed elevations atop a mountain, ridge, or other hypsographic features",T,,active,PEAKS
PEAT,peat cutting area,an area where peat is harvested,L,,active,PEAT_CUTTING_AREA
PEN,peninsula,an elongate area of land projecting into a body of water and nearly surrounded by water,T,,active,PENINSULA
BSNP,petroleum basin,an area underlain by an oil-rich structural basin,L,,active,PETROLEUM_BASIN
MFGPH,phosphate works,a facility for producing fertilizer,S,,active,PHOSPHATE_WORKS
PIER,pier,a structure built out into navigable water on piles providing berthing for ships and recreation,S,,active,PIER
GRVPN,pine grove,a planting of pine trees,V,,active,PINE_GROVE
MNPL,placer mine(s),a place where heavy metals are concentrated and running water is used to extract them from unconsolidated sediments,S,,active,PLACER_MINE_S
PLN,plain(s),"an extensive area of comparatively level to gently undulating land, lacking surface irregularities, and usually adjacent to a higher area",T,,active,PLAIN_S
PLAT,plateau,"an elevated plain with steep slopes on one or more sides, and often with incised streams",T,,active,PLATEAU
PT,point,"a tapering piece of land projecting into a body of water, less prominent than a cape",T,,active,POINT
PTS,points,"tapering pieces of land projecting into a body of water, less prominent than a cape",T,,active,POINTS
PLDR,polder,an area reclaimed from the sea by diking and draining,T,,active,POLDER
PP,police post,a building in which police are stationed,S,,active,POLICE_POST
PCL,political entity,political entity,A,,active,POLITICAL_ENTITY
PND,pond,a small standing waterbody,H,,active,POND
PNDS,ponds,small standing waterbodies,H,,active,PONDS
POOL,pool(s),"a small and comparatively still, deep part of a larger body of water such as a stream or harbor; or a small body of standing water",H,,active,POOL_S
PPLL,populated locality,an area similar to a locality but with a small group of dwellings or other buildings,P,,active,POPULATED_LOCALITY
PPL,populated place,"a city, town, village, or other agglomeration of buildings where people live and work",P,,active,POPULATED_PLACE
PPLS,populated places,"cities, towns, villages, or other agglomerations of buildings where people live and work",P,,active,POPULATED_PLACES
PRT,port,"a place provided with terminal and transfer facilities for loading and discharging waterborne cargo or passengers, usually located in a harbor",L,,active,PORT
PTGE,portage,"a place where boats, goods, etc., are carried overland between navigable waters",R,,active,PORTAGE
PO,post office,"a public building in which mail is received, sorted and distributed",S,,active,POST_OFFICE
PS,power station,a facility for generating electric power,S,,active,POWER_STATION
PRN,prison,a facility for confining prisoners,S,,active,PRISON
PRMN,promenade,"a place for public walking, usually along a beach front",R,,active,PROMENADE
PROM,promontory(-ies),a bluff or prominent hill overlooking or projecting into a lowland,T,,active,PROMONTORY_IES
PYR,pyramid,an ancient massive structure of square ground plan with four triangular faces meeting at a point and used for enclosing tombs,S,,active,PYRAMID
PYRS,pyramids,ancient massive structures of square ground plan with four triangular faces meeting at a point and used for enclosing tombs,S,,active,PYRAMIDS
MNQR,quarry(-ies),"a surface mine where building stone or gravel and sand, etc. are extracted",S,,active,QUARRY_IES
QUAY,quay,a structure of solid construction along a shore or bank which provides berthing for ships and which generally provides cargo handling facilities,S,,active,QUAY
QCKS,quicksand,"an area where loose sand with water moving through it may become unstable when heavy objects are placed at the surface, causing them to sink",L,,active,QUICKSAND
RECR,racetrack,a track where races are held,S,,active,RACETRACK
OBSR,radio observatory,a facility equipped with an array of antennae for receiving radio waves from space,S,,active,RADIO_OBSERVATORY
STNR,radio station,a facility for producing and transmitting information by radio waves,S,,active,RADIO_STATION
RR,railroad,a permanent twin steel-rail track on which freight and passenger cars move long distances,R,,active,RAILROAD
RJCT,railroad junction,a place where two or more railroad tracks join,R,,active,RAILROAD_JUNCTION
RSD,railroad siding,a short track parallel to and joining the main track,S,,active,RAILROAD_SIDING
RSGNL,railroad signal,a signal at the entrance of a particular section of track governing the movement of trains,S,,active,RAILROAD_SIGNAL
RSTN,railroad station,"a facility comprising ticket office, platforms, etc. for loading and unloading train passengers and freight",S,,active,RAILROAD_STATION
RSTP,railroad stop,a place lacking station facilities where trains stop to pick up and unload passengers and freight,S,,active,RAILROAD_STOP
TNLRR,railroad tunnel,a tunnel through which a railroad passes,R,,active,RAILROAD_TUNNEL
RYD,railroad yard,"a system of tracks used for the making up of trains, and switching and storing freight cars",R,,active,RAILROAD_YARD
RNCH,ranch(es),a large farm specializing in extensive grazing of livestock,S,,active,RANCH_ES
RPDS,rapids,"a turbulent section of a stream associated with a steep, irregular stream bed",H,,active,RAPIDS
RVN,ravine(s),"a small, narrow, deep, steep-sided stream channel, smaller than a gorge",H,,active,RAVINE_S
RCH,reach,a straight section of a navigable stream or channel between two bends,H,,active,REACH
RF,reef(s),a surface-navigation hazard composed of consolidated material,H,,active,REEF_S
PRNJ,reformatory,"a facility for confining, training, and reforming young law offenders",S,,active,REFORMATORY
CMPRF,refugee camp,a camp used by refugees,S,,active,REFUGEE_CAMP
RGN,region,an area distinguished by one or more observable physical or cultural characteristics,L,,active,REGION
CTRR,religious center,"a facility where more than one religious activity is carried out, e.g., retreat, school, monastery, worship",S,,active,RELIGIOUS_CENTER
PPLR,religious populated place,a populated place whose population is largely engaged in religious occupations,P,,active,RELIGIOUS_POPULATED_PLACE
RLG,religious site,an ancient site of significant religious importance,S,,active,RELIGIOUS_SITE
ITTR,research institute,a facility where research is carried out,S,,active,RESEARCH_INSTITUTE
RESV,reservation,"a tract of land set aside for aboriginal, tribal, or native populations",L,,active,RESERVATION
RES,reserve,a tract of public land reserved for future use or restricted as to use,L,,active,RESERVE
RSV,reservoir(s),an artificial pond or lake,H,,active,RESERVOIR_S
RSRT,resort,"a specialized facility for vacation, health, or participation sports activities",S,,active,RESORT
RHSE,resthouse,a structure maintained for the rest and shelter of travelers,S,,active,RESTHOUSE
RLGR,retreat,"a place of temporary seclusion, especially for religious groups",S,,active,RETREAT
RDGE,ridge(s),"a long narrow elevation with steep sides, and a more or less continuous crest",T,,active,RIDGE_S
RD,road,"an open way with improved surface for transportation of animals, people and vehicles",R,,active,ROAD
RDB,road bend,a conspicuously curved or bent section of a road,R,,active,ROAD_BEND
RDCUT,road cut,an excavation cut through a hill or ridge for a road,R,,active,ROAD_CUT
RDJCT,road junction,a place where two or more roads join,R,,active,ROAD_JUNCTION
TNLRD,road tunnel,a tunnel through which a road passes,R,,active,ROAD_TUNNEL
RDST,roadstead,an open anchorage affording less protection than a harbor,H,,active,ROADSTEAD
RK,rock,"a conspicuous, isolated rocky mass",T,,active,ROCK
HMDA,rock desert,"a relatively sand-free, high bedrock plateau in a hot desert, with or without a gravel veneer",T,,active,ROCK_DESERT
RKFL,rockfall,an irregular mass of fallen rock at the base of a cliff or steep slope,T,,active,ROCKFALL
RKS,rocks,"conspicuous, isolated rocky masses",T,,active,ROCKS
RKRY,rookery,a breeding place of a colony of birds or seals,S,,active,ROOKERY
ESTR,rubber plantation,an estate which specializes in growing and tapping rubber trees,S,,active,RUBBER_PLANTATION
RUIN,ruin(s),a destroyed or decayed structure which is no longer functional,S,,active,RUIN_S
BDGQ,ruined bridge,a destroyed or decayed bridge which is no longer functional,S,,active,RUINED_BRIDGE
DAMQ,ruined dam,a destroyed or decayed dam which is no longer functional,S,,active,RUINED_DAM
SBKH,sabkha(s),a salt flat or salt encrusted plain subject to periodic inundation from flooding or high tides,H,,active,SABKHA_S
SDL,saddle,"a broad, open pass crossing a ridge or between hills or mountains",T,,active,SADDLE
SALT,salt area,a shallow basin or flat where salt accumulates after periodic inundation,L,,active,SALT_AREA
MFGN,salt evaporation ponds,diked salt ponds used in the production of solar evaporated salt,H,,active,SALT_EVAPORATION_PONDS
LKN,salt lake,an inland body of salt water with no outlet,H,,active,SALT_LAKE
LKSN,salt lakes,inland bodies of salt water with no outlet,H,,active,SALT_LAKES
MRSHN,salt marsh,"a flat area, subject to periodic salt water inundation, dominated by grassy salt-tolerant plants",H,,active,SALT_MARSH
MNN,salt mine(s),a mine from which salt is extracted,S,,active,SALT_MINE_S
PNDN,salt pond,"a small standing body of salt water often in a marsh or swamp, usually along a seacoast",H,,active,SALT_POND
PNDSN,salt ponds,"small standing bodies of salt water often in a marsh or swamp, usually along a seacoast",H,,active,SALT_PONDS
SNTR,sanatorium,a facility where victims of physical or mental disorders are treated,S,,active,SANATORIUM
SAND,sand area,a tract of land covered with sand,T,,active,SAND_AREA
ERG,sandy desert,an extensive tract of shifting sand and sand dunes,T,,active,SANDY_DESERT
STNS,satellite station,a facility for tracking and communicating with orbiting satellites,S,,active,SATELLITE_STATION
MLSW,sawmill,a mill where logs or lumber are sawn to specified shapes and sizes,S,,active,SAWMILL
SCH,school,building(s) where instruction in one or more branches of knowledge takes place,S,,active,SCHOOL
ADMS,school district,school district,A,,active,SCHOOL_DISTRICT
STNB,scientific research base,a scientific facility used as a base from which research is carried out or monitored,S,,active,SCIENTIFIC_RESEARCH_BASE
SCRB,scrubland,"an area of low trees, bushes, and shrubs stunted by some environmental limitation",V,,active,SCRUBLAND
SEA,sea,a large body of salt water more or less confined by continuous land or chains of islands forming a subdivision of an ocean,H,,active,SEA
SCNU,seachannel,"a continuously sloping, elongated depression commonly found in fans or plains and customarily bordered by levees on one or two sides",U,,active,SEACHANNEL
SCSU,seachannels,"continuously sloping, elongated depressions commonly found in fans or plains and customarily bordered by levees on one or two sides",U,,active,SEACHANNELS
SMU,seamount,"an elevation rising generally more than 1,000 meters and of limited extent across the summit",U,,active,SEAMOUNT
SMSU,seamounts,"elevations rising generally more than 1,000 meters and of limited extent across the summit",U,,active,SEAMOUNTS
AIRS,seaplane landing area,a place on a waterbody where floatplanes land and take off,H,,active,SEAPLANE_LANDING_AREA
PPLA,seat of a first-order administrative division,seat of a first-order administrative division (PPLC takes precedence over PPLA),P,,active,SEAT_OF_A_FIRST_ORDER_ADMINISTRATIVE_DIVISION
PPLA4,seat of a fourth-order administrative division,seat of a fourth-order administrative division,P,,active,SEAT_OF_A_FOURTH_ORDER_ADMINISTRATIVE_DIVISION
PPLA2,seat of a second-order administrative division,seat of a second-order administrative division,P,,active,SEAT_OF_A_SECOND_ORDER_ADMINISTRATIVE_DIVISION
PPLA3,seat of a third-order administrative division,seat of a third-order administrative division,P,,active,SEAT_OF_A_THIRD_ORDER_ADMINISTRATIVE_DIVISION
ADM2,second-order administrative division,a subdivision of a first-order administrative division,A,,active,SECOND_ORDER_ADMINISTRATIVE_DIVISION
BNKX,section of bank,section of bank,H,,active,SECTION_OF_BANK
CNLX,section of canal,section of canal,H,,active,SECTION_OF_CANAL
ESTX,section of estate,section of estate,S,,active,SECTION_OF_ESTATE
HBRX,section of harbor,section of harbor,H,,active,SECTION_OF_HARBOR
PCLIX,section of independent political entity,section of independent political entity,A,,active,SECTION_OF_INDEPENDENT_POLITICAL_ENTITY
STMIX,section of intermittent stream,section of intermittent stream,H,,active,SECTION_OF_INTERMITTENT_STREAM
ISLX,section of island,section of island,T,,active,SECTION_OF_ISLAND
LGNX,section of lagoon,section of lagoon,H,,active,SECTION_OF_LAGOON
LKX,section of lake,section of lake,H,,active,SECTION_OF_LAKE
PENX,section of peninsula,section of peninsula,T,,active,SECTION_OF_PENINSULA
PLNX,section of plain,section of plain,T,,active,SECTION_OF_PLAIN
PLATX,section of plateau,section of plateau,T,,active,SECTION_OF_PLATEAU
PPLX,section of populated place,section of populated place,P,,active,SECTION_OF_POPULATED_PLACE
RFX,section of reef,section of reef,H,,active,SECTION_OF_REEF
STMX,section of stream,section of stream,H,,active,SECTION_OF_STREAM
VALX,section of valley,section of valley,T,,active,SECTION_OF_VALLEY
WADX,section of wadi,section of wadi,H,,active,SECTION_OF_WADI
FLLSX,section of waterfall(s),section of waterfall(s),H,,active,SECTION_OF_WATERFALL_S
PCLS,semi-independent political entity,semi-independent political entity,A,,active,SEMI_INDEPENDENT_POLITICAL_ENTITY
SWT,sewage treatment plant,facility for the processing of sewage and/or wastewater,S,,active,SEWAGE_TREATMENT_PLANT
SHPF,sheepfold,a fence or wall enclosure for sheep and other small herd animals,S,,active,SHEEPFOLD
SHOL,shoal(s),a surface-navigation hazard composed of unconsolidated material,H,,active,SHOAL_S
SHOPC,shopping center or mall,an urban shopping area featuring a variety of shops surrounding a usually open-air concourse reserved for pedestrian traffic; or a large suburban building or group of buildings containing various shops with associated passageways,S,,active,SHOPPING_CENTER_OR_MALL
SHOR,shore,"a narrow zone bordering a waterbody which covers and uncovers at high and low water, respectively",T,,active,SHORE
SHRN,shrine,a structure or place memorializing a person or religious concept,S,,active,SHRINE
SILL,sill,the low part of a gap or saddle separating basins,H,,active,SILL
SINK,sinkhole,a small crater-shape depression in a karst area,T,,active,SINKHOLE
ESTSL,sisal plantation,an estate that specializes in growing sisal,S,,active,SISAL_PLANTATION
SLID,slide,"a mound of earth material, at the base of a slope and the associated scoured area",T,,active,SLIDE
SLP,slope(s),a surface with a relatively uniform slope angle,T,,active,SLOPE_S
SLCE,sluice,"a conduit or passage for carrying off surplus water from a waterbody, usually regulated by means of a sluice gate",S,,active,SLUICE
SNOW,snowfield,an area of permanent snow and ice forming the accumulation area of a glacier,L,,active,SNOWFIELD
SD,sound,a long arm of the sea forming a channel between the mainland and an island or islands; or connecting two larger bodies of water,H,,active,SOUND
SPA,spa,a resort area usually developed around a medicinal spring,S,,active,SPA
CTRS,space center,"a facility for launching, tracking, or controlling satellites and space vehicles",S,,active,SPACE_CENTER
SPLY,spillway,"a passage or outlet through which surplus water flows over, around or through a dam",S,,active,SPILLWAY
SPIT,spit,"a narrow, straight or curved continuation of a beach into a waterbody",T,,active,SPIT
SPNG,spring(s),a place where ground water flows naturally out of the ground,H,,active,SPRING_S
SPUR,spur(s),"a subordinate ridge projecting outward from a hill, mountain or other elevation",T,,active,SPUR_S
SQR,square,"a broad, open, public area near the center of a town or city",S,,active,SQUARE
STBL,stable,"a building for the shelter and feeding of farm animals, especially horses",S,,active,STABLE
STDM,stadium,a structure with an enclosure for athletic games with tiers of seats for spectators,S,,active,STADIUM
STPS,steps,stones or slabs placed for ease in ascending or descending a steep slope,S,,active,STEPS
STKR,stock route,a route taken by livestock herds,R,,active,STOCK_ROUTE
REG,stony desert,a desert plain characterized by a surface veneer of gravel and stones,T,,active,STONY_DESERT
RET,store,a building where goods and/or services are offered for sale,S,,active,STORE
SHSE,storehouse,"a building for storing goods, especially provisions",S,,active,STOREHOUSE
STRT,strait,"a relatively narrow waterway, usually narrower and less extensive than a sound, connecting two larger bodies of water",H,,active,STRAIT
STM,stream,a body of running water moving to a lower level in a channel on land,H,,active,STREAM
BNKR,stream bank,a sloping margin of a stream channel which normally confines the stream to its channel on land,H,,active,STREAM_BANK
STMB,stream bend,a conspicuously curved or bent segment of a stream,H,,active,STREAM_BEND
STMGS,stream gauging station,"named place where a measuring station for a watercourse, reservoir or other water body exists",S,,active,STREAM_GAUGING_STATION
STMM,stream mouth(s),"a place where a stream discharges into a lagoon, lake, or the sea",H,,active,STREAM_MOUTH_S
STMS,streams,bodies of running water moving to a lower level in a channel on land,H,,active,STREAMS
ST,street,a paved urban thoroughfare,R,,active,STREET
DAMSB,sub-surface dam,a dam put down to bedrock in a sand river,S,,active,SUB_SURFACE_DAM
SUBW,subway,"a railroad used for mass public transportation primarily in urban areas, all or part of the system may be located below, above, or at ground level",S,,active,SUBWAY
SUBS,subway station,"a facility comprising ticket office, platforms, etc. for loading and unloading subway passengers",S,,active,SUBWAY_STATION
MLSG,sugar mill,a facility where sugar cane is processed into raw sugar,S,,active,SUGAR_MILL
ESTSG,sugar plantation,an estate that specializes in growing sugar cane,S,,active,SUGAR_PLANTATION
MFGSG,sugar refinery,a facility for converting raw sugar into refined sugar,S,,active,SUGAR_REFINERY
SPNS,sulphur spring(s),a place where sulphur ground water flows naturally out of the ground,H,,active,SULPHUR_SPRING_S
SWMP,swamp,a wetland dominated by tree vegetation,H,,active,SWAMP
SYG,synagogue,a place for Jewish worship and religious instruction,S,,active,SYNAGOGUE
TMTU,tablemount (or guyot),"a seamount having a comparatively smooth, flat top",U,,active,TABLEMOUNT_OR_GUYOT
TMSU,tablemounts (or guyots),"seamounts having a comparatively smooth, flat top",U,,active,TABLEMOUNTS_OR_GUYOTS
TAL,talus slope,a steep concave slope formed by an accumulation of loose rock fragments at the base of a cliff or steep slope,T,,active,TALUS_SLOPE
OILT,tank farm,"a tract of land occupied by large, cylindrical, metal tanks in which oil or liquid petrochemicals are stored",S,,active,TANK_FARM
ESTT,tea plantation,an estate which specializes in growing tea bushes,S,,active,TEA_PLANTATION
SCHT,technical school,post-secondary school with a specifically technical or vocational curriculum,S,,active,TECHNICAL_SCHOOL
TMPL,temple(s),an edifice dedicated to religious worship,S,,active,TEMPLE_S
AIRT,terminal,airport facilities for the handling of freight and passengers,S,,active,TERMINAL
TRR,terrace,"a long, narrow alluvial platform bounded by steeper slopes above and below, usually overlooking a waterbody",T,,active,TERRACE
TERR,territory,territory,A,,active,TERRITORY
ADM3,third-order administrative division,a subdivision of a second-order administrative division,A,,active,THIRD_ORDER_ADMINISTRATIVE_DIVISION
CRKT,tidal creek(s),a meandering channel in a coastal wetland subject to bi-directional tidal currents,H,,active,TIDAL_CREEK_S
FLTT,tidal flat(s),a large flat area of mud or sand attached to the shore and alternately covered and uncovered by the tide,H,,active,TIDAL_FLAT_S
MNSN,tin mine(s),a mine where tin ore is extracted,S,,active,TIN_MINE_S
TOLL,toll gate/barrier,highway toll collection station,S,,active,TOLL_GATE_BARRIER
TMB,tomb(s),a structure for interring bodies,S,,active,TOMB_S
TOWR,tower,"a high conspicuous structure, typically much higher than its diameter",S,,active,TOWER
RDCR,traffic circle,a road junction formed around a central circle about which traffic moves in one direction only,S,,active,TRAFFIC_CIRCLE
TRL,trail,"a path, track, or route used by pedestrians, animals, or off-road vehicles",R,,active,TRAIL
TRANT,transit terminal,facilities for the handling of vehicular freight and passengers,S,,active,TRANSIT_TERMINAL
TREE,tree(s),a conspicuous tree used as a landmark,V,,active,TREE_S
TRIG,triangulation station,a point on the earth whose position has been determined by triangulation,S,,active,TRIANGULATION_STATION
TRB,tribal area,a tract of land used by nomadic or other tribes,L,,active,TRIBAL_AREA
TUND,tundra,"a marshy, treeless, high latitude plain, dominated by mosses, lichens, and low shrub vegetation under permafrost conditions",V,,active,TUNDRA
TNL,tunnel,a subterranean passageway for transportation,R,,active,TUNNEL
TNLS,tunnels,subterranean passageways for transportation,R,,active,TUNNELS
CNLSB,underground irrigation canal(s),a gently inclined underground tunnel bringing water for irrigation from aquifers,H,,active,UNDERGROUND_IRRIGATION_CANAL_S
LKSB,underground lake,a standing body of water in a cave,H,,active,UNDERGROUND_LAKE
APNU,undersea apron,"a gentle slope, with a generally smooth surface, particularly found around groups of islands and seamounts",U,,active,UNDERSEA_APRON
ARCU,undersea arch,a low bulge around the southeastern end of the island of Hawaii,U,,active,UNDERSEA_ARCH
ARRU,undersea arrugado,an area of subdued corrugations off Baja California,U,,active,UNDERSEA_ARRUGADO
BNKU,undersea bank,"an elevation, typically located on a shelf, over which the depth of water is relatively shallow but sufficient for safe surface navigation",U,,active,UNDERSEA_BANK
BKSU,undersea banks,"elevations, typically located on a shelf, over which the depth of water is relatively shallow but sufficient for safe surface navigation",U,,active,UNDERSEA_BANKS
BSNU,undersea basin,a depression more or less equidimensional in plan and of variable extent,U,,active,UNDERSEA_BASIN
BNCU,undersea bench,a small terrace,U,,active,UNDERSEA_BENCH
BDLU,undersea borderland,"a region adjacent to a continent, normally occupied by or bordering a shelf, that is highly irregular with depths well in excess of those typical of a shelf",U,,active,UNDERSEA_BORDERLAND
CNYU,undersea canyon,"a relatively narrow, deep depression with steep sides, the bottom of which generally has a continuous slope",U,,active,UNDERSEA_CANYON
CNSU,undersea canyons,"relatively narrow, deep depressions with steep sides, the bottom of which generally has a continuous slope",U,,active,UNDERSEA_CANYONS
CDAU,undersea cordillera,"an entire mountain system including the subordinate ranges, interior plateaus, and basins",U,,active,UNDERSEA_CORDILLERA
ESCU,undersea escarpment (or scarp),an elongated and comparatively steep slope separating flat or gently sloping areas,U,,active,UNDERSEA_ESCARPMENT_OR_SCARP
FANU,undersea fan,a relatively smooth feature normally sloping away from the lower termination of a canyon or canyon system,U,,active,UNDERSEA_FAN
FLTU,undersea flat,a small level or nearly level area,U,,active,UNDERSEA_FLAT
FRKU,undersea fork,a branch of a canyon or valley,U,,active,UNDERSEA_FORK
FRSU,undersea forks,a branch of a canyon or valley,U,,active,UNDERSEA_FORKS
