SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS,,,,,,,,,,
,,,,,,,,,,
REDE:,Piezometria,,,,,,,,,
,,,,,,,,,,
CÓDIGO,NOME,DISTRITO,CONCELHO,FREGUESIA,BACIA,ALTITUDE (M),COORD_X (M),COORD_Y (M),SISTEMA AQUÍFERO,ESTADO
505/173,AdSA07-Carregueira,SETÚBAL,SANTIAGO DO CACÉM,SANTO ANDRÉ,RIBEIRAS DO ALENTEJO,11.75,144113.77,125377.3,O32 - SINES,
505/174,AdSA08-Porto Peixe,SETÚBAL,SANTIAGO DO CACÉM,SANTO ANDRÉ,RIBEIRAS DO ALENTEJO,5.87,143223.61,125283.87,O32 - SINES,
505/176,AdSAPz01-Moinho Novo,SETÚBAL,SANTIAGO DO CACÉM,SANTO ANDRÉ,SADO,3.2,142568.4,123847.2,O32 - SINES,
505/177,AdSAPz02-Porto Peixe,SETÚBAL,SANTIAGO DO CACÉM,SANTO ANDRÉ,SADO,3.66,142848.4,125722.2,O32 - SINES,
505/179,AdSAPz04-Areal,SETÚBAL,SANTIAGO DO CACÉM,SANTO ANDRÉ,SADO,6.94,142913.4,122980.2,O32 - SINES,
413/78,Algaravenha,PORTALEGRE,ELVAS,SÃO BRÁS E SÃO LOURENÇO,GUADIANA,371,279180,212290,A5 - ELVAS - VILA BOIM,
428/17,Amada,PORTALEGRE,ELVAS,SÃO BRÁS E SÃO LOURENÇO,GUADIANA,290,281625,209625,A5 - ELVAS - VILA BOIM,
411/184,Ameira,ÉVORA,ESTREMOZ,-,TEJO,381,245237,210926,A4 - ESTREMOZ - CANO,
413/109,Armadas,PORTALEGRE,ELVAS,VILA FERNANDO,TEJO,430,274875,215650,A5 - ELVAS - VILA BOIM,
414/68,Atalaia,PORTALEGRE,ELVAS,CAIA E SÃO PEDRO,GUADIANA,218.86,289052,217140,A11 - ELVAS - CAMPO MAIOR,
426/302,BARRO BRANCO,ÉVORA,BORBA,RIO DE MOINHOS,GUADIANA,464,257204,202186,A4 - ESTREMOZ - CANO,
414/67,Barrancas,PORTALEGRE,ELVAS,CAIA E SÃO PEDRO,GUADIANA,183.83,291251,217921,A5 - ELVAS - VILA BOIM,
601/55,C1,FARO,VILA DO BISPO,-,RIBEIRAS DO ALGARVE,63.46,129644.7,10706.7,M1 - COVÕES,EM SERVIÇO
420/12,CANHA,SETÚBAL,MONTIJO,CANHA,TEJO,60,156971.4,199930.2,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
310/227,CAPTAÇÃO DA MENDACHA - P1,SANTARÉM,TOMAR,SABACHEIRA,TEJO,80.1,174284,299796,O11 - SICÓ - ALVAIÁZERE,
68/11,CAPTAÇÃO DO BOURO,BRAGA,ESPOSENDE,-,CÁVADO/RIBEIRAS COSTEIRAS,35,147790.6,507607.3,A0 - MACIÇO ANTIGO INDIFERENCIADO,EM RESERVA
329/21,CASAL RAMOS,SANTARÉM,TORRES NOVAS,TORRES NOVAS (SANTA MARIA),TEJO,105,162070,276830,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,
261/154,CASAS BRANCAS,LEIRIA,POMBAL,LOURIÇAL,MONDEGO,100,144076,336120,O29 - LOURIÇAL,
411/194,CAVALEIRA,ÉVORA,ESTREMOZ,SANTO ESTÊVÃO,TEJO,300.68,246031.08,216243.79,A4 - ESTREMOZ - CANO,
405/167,CBR,SANTARÉM,BENAVENTE,SANTO ESTÊVÃO,TEJO,24,147550,210725,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
353/341,CBR1,SANTARÉM,CHAMUSCA,VALE DE CAVALOS,TEJO,16,166305.1,257935.8,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,EM RESERVA
378/129,CBR1,SANTARÉM,SALVATERRA DE MAGOS,MARINHAIS,TEJO,39.9,152520,231100,T7 - ALUVIÕES DO TEJO,
611/388,CCQJD1,FARO,FARO,-,RIBEIRAS DO ALGARVE,28.31,221113.3,9232.9,M11 - CHÃO DE CEVADA - QUINTA JOÃO DE OURÉM,EM SERVIÇO
611/386,CFF1,FARO,FARO,-,RIBEIRAS DO ALGARVE,18.14,220812.3,7706.3,M12 - CAMPINA DE FARO,EM SERVIÇO
611/387,CFF2,FARO,FARO,-,RIBEIRAS DO ALGARVE,18.58,220812.8,7699,M12 - CAMPINA DE FARO,EM SERVIÇO
606/1662,CFVL1,FARO,LOULÉ,ALMANSIL,RIBEIRAS DO ALGARVE,36.73,207407.7,10346.5,M12 - CAMPINA DE FARO,EM SERVIÇO
606/1663,CFVL2,FARO,LOULÉ,ALMANSIL,RIBEIRAS DO ALGARVE,22.69,209628.6,10976.3,M12 - CAMPINA DE FARO,EM SERVIÇO
610/267,CFVL3,FARO,LOULÉ,ALMANSIL,RIBEIRAS DO ALGARVE,6.04,210969.3,8505.3,M12 - CAMPINA DE FARO,EM SERVIÇO
610/268,CFVL4,FARO,LOULÉ,ALMANSIL,RIBEIRAS DO ALGARVE,5.88,210969.8,8497.8,M12 - CAMPINA DE FARO,EM SERVIÇO
261/153,CIPRESTE,LEIRIA,POMBAL,LOURIÇAL,MONDEGO,100,143863,339850,O29 - LOURIÇAL,
219/296,CMM,COIMBRA,CANTANHEDE,-,VOUGA/RIBEIRAS COSTEIRAS,50,172504,377562,O3 - CÁRSICO DA BAIRRADA,
551/27,CP 1,BEJA,MÉRTOLA,CORTE DO PINTO,GUADIANA,160,257801,82214,A0 - MACIÇO ANTIGO INDIFERENCIADO,EM SERVIÇO
522/200,CP 1/93,BEJA,SERPA,SERPA (SANTA MARIA),GUADIANA,160,245984,110503,A0 - MACIÇO ANTIGO INDIFERENCIADO,
532/211,CP2,BEJA,BEJA,-,GUADIANA,150,233880,100984,A0 - MACIÇO ANTIGO INDIFERENCIADO,
414/71,Caia,PORTALEGRE,ELVAS,CAIA E SÃO PEDRO,GUADIANA,174.64,293755,213712,A5 - ELVAS - VILA BOIM,
414/70,Campo,PORTALEGRE,ELVAS,"AJUDA, SALVADOR E SANTO ILDEFONSO",GUADIANA,171.27,290020,210535,A11 - ELVAS - CAMPO MAIOR,
426/348,Carrascal,ÉVORA,BORBA,BORBA (MATRIZ),GUADIANA,401,259625,204300,A4 - ESTREMOZ - CANO,
512/32,Ccanas,BEJA,MOURA,MOURA (SANTO AGOSTINHO),GUADIANA,235.2,260938,125951,A10 - MOURA - FICALHO,
73/3,D47,VILA REAL,RIBEIRA DE PENA,RIBEIRA DE PENA (SALVADOR),DOURO,825,230825.6,504569.1,A0 - MACIÇO ANTIGO INDIFERENCIADO,
185/69,DGRN,AVEIRO,AVEIRO,EIXO,VOUGA/RIBEIRAS COSTEIRAS,42,160650,407630,O2 - CRETÁCICO DE AVEIRO,
219/12,DT 1,AVEIRO,MEALHADA,MEALHADA,VOUGA/RIBEIRAS COSTEIRAS,52,173120,379740,O3 - CÁRSICO DA BAIRRADA,
414/45,Elvas,PORTALEGRE,ELVAS,CAIA E SÃO PEDRO,GUADIANA,278,285375,212125,A5 - ELVAS - VILA BOIM,
484/42,F18inf,SETÚBAL,GRÂNDOLA,-,SADO,36.25,144453.4,146853.7,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,EM SERVIÇO
484/43,F19SUP,SETÚBAL,ALCÁCER DO SAL,-,SADO,33.74,144625,146738,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,EM SERVIÇO
311/97,F2,SANTARÉM,SARDOAL,SANTIAGO DE MONTALEGRE,TEJO,313,197080,291883,A0 - MACIÇO ANTIGO INDIFERENCIADO,
312/4,F2,SANTARÉM,MAÇÃO,AMÊNDOA,TEJO,378,206410,298324,A0 - MACIÇO ANTIGO INDIFERENCIADO,
416/311,F3,LISBOA,SINTRA,ALMARGEM DO BISPO,TEJO,253,100942.3,206893.5,O0 - ORLA OCIDENTAL INDIFERENCIADO,
301/1,F4,SANTARÉM,MAÇÃO,CARDIGOS,TEJO,374,210893,304236,A0 - MACIÇO ANTIGO INDIFERENCIADO,
475/176,F5,SETÚBAL,ALCÁCER DO SAL,-,SADO,16.92,143592.98,154967.45,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,EM SERVIÇO
475/177,F6,SETÚBAL,ALCÁCER DO SAL,-,SADO,16.39,143588.98,154963.5,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,EM SERVIÇO
604/508,FA1,FARO,LAGOA,-,RIBEIRAS DO ALGARVE,36.31,171615.8,17961.1,M4 - FERRAGUDO - ALBUFEIRA,EM SERVIÇO
604/509,FA2,FARO,LAGOA,-,RIBEIRAS DO ALGARVE,50.12,172218.8,19121.6,M4 - FERRAGUDO - ALBUFEIRA,EM SERVIÇO
604/510,FA4,FARO,ALBUFEIRA,-,RIBEIRAS DO ALGARVE,44.63,180262.8,18537.5,M4 - FERRAGUDO - ALBUFEIRA,EM SERVIÇO
604/507,FA5,FARO,LAGOA,-,RIBEIRAS DO ALGARVE,64,172588.1,14400.3,M4 - FERRAGUDO - ALBUFEIRA,EM SERVIÇO
603/169,FA6,FARO,LAGOA,-,ARADE,22.83,167602.7,19421.8,M4 - FERRAGUDO - ALBUFEIRA,EM SERVIÇO
595/1056,FC,FARO,SILVES,SILVES,RIBEIRAS DO ALGARVE,92.56,178240,24100,M5 - QUERENÇA - SILVES,
596/277,FD 1,FARO,ALBUFEIRA,PADERNE,RIBEIRAS DO ALGARVE,68.56,195250,25750,M5 - QUERENÇA - SILVES,EM SERVIÇO
594/160,FD 12,FARO,PORTIMÃO,MEXILHOEIRA GRANDE,RIBEIRAS DO ALGARVE,29.16,159152,22750,M3 - MEXILHOEIRA GRANDE - PORTIMÃO,EM SERVIÇO
596/276,FD 2,FARO,ALBUFEIRA,PADERNE,RIBEIRAS DO ALGARVE,69.1,195350,25360,M5 - QUERENÇA - SILVES,EM SERVIÇO
596/275,FD 3,FARO,ALBUFEIRA,PADERNE,RIBEIRAS DO ALGARVE,71.3,194850,25150,M5 - QUERENÇA - SILVES,EM SERVIÇO
594/109,FD 4,FARO,PORTIMÃO,MEXILHOEIRA GRANDE,RIBEIRAS DO ALGARVE,35,158740,22315,M3 - MEXILHOEIRA GRANDE - PORTIMÃO,ABANDONADO
596/273,FD 4,FARO,ALBUFEIRA,PADERNE,RIBEIRAS DO ALGARVE,68.62,194600,24850,M5 - QUERENÇA - SILVES,EM SERVIÇO
596/322,FD 5,FARO,ALBUFEIRA,PADERNE,RIBEIRAS DO ALGARVE,69.06,195150,25450,M5 - QUERENÇA - SILVES,EM SERVIÇO
596/279,FD 6,FARO,ALBUFEIRA,PADERNE,RIBEIRAS DO ALGARVE,70.14,193600,26400,M5 - QUERENÇA - SILVES,EM SERVIÇO
321/93,FD1,SANTARÉM,ABRANTES,ABRANTES (SÃO VICENTE),TEJO,100,199743,280628,A0 - MACIÇO ANTIGO INDIFERENCIADO,EM RESERVA
332/25,FD1,SANTARÉM,ABRANTES,CONCAVADA,TEJO,100,204590,275300,T0 - BACIA DO TEJO-SADO INDIFERENCIADO,
343/30,FD1,SANTARÉM,ABRANTES,BEMPOSTA,TEJO,100,199000,265360,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
344/3,FD1,SANTARÉM,ABRANTES,VALE DE MÓS,TEJO,170,206750,263640,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
594/95,FD14,FARO,PORTIMÃO,MEXILHOEIRA GRANDE,RIBEIRAS DO ALGARVE,41.17,157358,22434,M3 - MEXILHOEIRA GRANDE - PORTIMÃO,EM RESERVA
391/403,FR1,SANTARÉM,SALVATERRA DE MAGOS,FOROS DE SALVATERRA,TEJO,35,147750,225250,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
406/69,FR1,SANTARÉM,CORUCHE,CORUCHE,TEJO,40,165300,214140,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
408/30,FR1,ÉVORA,MORA,MORA,TEJO,110,195241.5,217739.2,T0 - BACIA DO TEJO-SADO INDIFERENCIADO,
442/526,FR10,SETÚBAL,SEIXAL,AMORA,TEJO,35,113500,185220,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
353/687,FR2,SANTARÉM,ALMEIRIM,-,TEJO,49,163432,252892,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,SELADO
365/1076,FR2,SANTARÉM,ALMEIRIM,FAZENDAS DE ALMEIRIM,TEJO,138,161816,243682,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
368/27,FR2,PORTALEGRE,PONTE DE SOR,TRAMAGA,TEJO,133,205628.1,249583.6,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
434/306,FR3,SETÚBAL,MONTIJO,CANHA,TEJO,78,164378.1,192605.4,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
442/523,FR8,SETÚBAL,SEIXAL,ALDEIA DE PAIO PIRES,TEJO,32,116860,182780,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
442/518,FR9,SETÚBAL,SEIXAL,CORROIOS,TEJO,50,110120,181820,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
412/94,FREIRAS,ÉVORA,ESTREMOZ,SÃO DOMINGOS DE ANA LOURA,TEJO,351,251967,212056,A4 - ESTREMOZ - CANO,
255/8,FURO 1,CASTELO BRANCO,FUNDÃO,BARROCA,TEJO,385,232868.5,348066.1,A0 - MACIÇO ANTIGO INDIFERENCIADO,
559/21,FURO 2,BEJA,MÉRTOLA,CORTE DO PINTO,GUADIANA,160,256935,79106,A0 - MACIÇO ANTIGO INDIFERENCIADO,EM RESERVA
261/152,FURO 8,LEIRIA,POMBAL,-,MONDEGO,56.58,140306,334844,O10 - LEIROSA - MONTE REAL,
255/16,FURO DE SÃO MARTINHO,CASTELO BRANCO,FUNDÃO,BARROCA,TEJO,459,236622.8,348865,A0 - MACIÇO ANTIGO INDIFERENCIADO,
370/24,FURO DO ÁLAMO,PORTALEGRE,ALTER DO CHÃO,ALTER DO CHÃO,TEJO,270,241086,248128,A0 - MACIÇO ANTIGO INDIFERENCIADO,
512/212,FURO DOS POMARES,BEJA,MOURA,MOURA (SANTO AGOSTINHO),GUADIANA,170,263002,127410,A0 - MACIÇO ANTIGO INDIFERENCIADO,
606/1101,FURO Nº1,FARO,LOULÉ,-,RIBEIRAS DO ALGARVE,23.44,204122,12947,M7 - QUARTEIRA,EM RESERVA
251/19,FURO-GATEIRA,COIMBRA,PENELA,PODENTES,MONDEGO,267,177918,344550,O9 - PENELA - TOMAR,
296/59,Furo-Horto,LEIRIA,MARINHA GRANDE,MARINHA GRANDE,LIS/RIBEIRAS COSTEIRAS,100,132788,308414,O12 - VIEIRA DE LEIRIA - MARINHA GRANDE,
206/17,Furo-SL,COIMBRA,MIRA,MIRA,LIS/RIBEIRAS COSTEIRAS,49,151260,383226,O2 - CRETÁCICO DE AVEIRO,
390/99,G2,LISBOA,ALENQUER,-,TEJO,3.1,130060.6,228988.3,T7 - ALUVIÕES DO TEJO,EM RESERVA
524/116,GARGALÃO,BEJA,MOURA,-,GUADIANA,205,274294,119206,A10 - MOURA - FICALHO,
74/1,GO-185,VILA REAL,VILA POUCA DE AGUIAR,ALVÃO,DOURO,904,233973.3,503238.2,A0 - MACIÇO ANTIGO INDIFERENCIADO,
397/87,HORTA DO MINGACHO,PORTALEGRE,SOUSEL,CANO,TEJO,244.97,232698,222416,A4 - ESTREMOZ - CANO,
600/155,IRH Nº 53,FARO,TAVIRA,CONCEIÇÃO,RIBEIRAS DO ALGARVE,30.6,248100,20570,M0 - ORLA MERIDIONAL INDIFERENCIADO,EM SERVIÇO
605/314,JCS 15,FARO,ALBUFEIRA,ALBUFEIRA,RIBEIRAS DO ALGARVE,9.22,197467.25,14250,M6 - ALBUFEIRA - RIBEIRA DE QUARTEIRA,EM RESERVA
596/272,JCS 18,FARO,ALBUFEIRA,PADERNE,RIBEIRAS DO ALGARVE,63.95,194800,24500,M5 - QUERENÇA - SILVES,EM SERVIÇO
594/172,JCS 19,FARO,PORTIMÃO,MEXILHOEIRA GRANDE,RIBEIRAS DO ALGARVE,53.26,159223.02,26189.52,M3 - MEXILHOEIRA GRANDE - PORTIMÃO,EM RESERVA
595/309,JCS 19,FARO,SILVES,SILVES,ARADE,34.73,171150,22656,M5 - QUERENÇA - SILVES,EM RESERVA
607/497,JCS 3,FARO,FARO,CONCEIÇÃO,RIBEIRAS DO ALGARVE,58.77,220380,11750,M10 - S. JOÃO DA VENDA - QUELFES,EM SERVIÇO
594/159,JCS 4/JCS 6,FARO,PORTIMÃO,MEXILHOEIRA GRANDE,RIBEIRAS DO ALGARVE,69.3,156280,23542,M3 - MEXILHOEIRA GRANDE - PORTIMÃO,ABANDONADO
594/162,JCS 5,FARO,PORTIMÃO,MEXILHOEIRA GRANDE,RIBEIRAS DO ALGARVE,10,159150,23350,M3 - MEXILHOEIRA GRANDE - PORTIMÃO,EM SERVIÇO
594/163,JCS 8,FARO,PORTIMÃO,MEXILHOEIRA GRANDE,RIBEIRAS DO ALGARVE,50,159650,25250,M3 - MEXILHOEIRA GRANDE - PORTIMÃO,EM SERVIÇO
349/54,JFF 15,LISBOA,LOURINHÃ,SÃO BARTOLOMEU DOS GALEGOS,RIBEIRAS DO OESTE,65,99962,257740,O23 - PAÇO,
362/100,JFF13,LISBOA,TORRES VEDRAS,MAXIAL,RIBEIRAS DO OESTE,255,111650,240000,O0 - ORLA OCIDENTAL INDIFERENCIADO,
374/16,JFF4,LISBOA,TORRES VEDRAS,VENTOSA,RIBEIRAS DO OESTE,68,95550,234500,O0 - ORLA OCIDENTAL INDIFERENCIADO,
389/5,JFF6,LISBOA,TORRES VEDRAS,DOIS PORTOS,RIBEIRAS DO OESTE,174,111500,229960,O0 - ORLA OCIDENTAL INDIFERENCIADO,
173/3,JK 1,AVEIRO,AVEIRO,SÃO JACINTO,VOUGA/RIBEIRAS COSTEIRAS,4,150010,412299,O2 - CRETÁCICO DE AVEIRO,
207/1,JK 1,AVEIRO,ANADIA,SÃO LOURENÇO DO BAIRRO,VOUGA/RIBEIRAS COSTEIRAS,45,164679,386910,O2 - CRETÁCICO DE AVEIRO,
297/25,JK 1,LEIRIA,BATALHA,BATALHA,LIS/RIBEIRAS COSTEIRAS,117,138980,300460,O19 - ALPEDRIZ,
405/11,JK 1,SANTARÉM,BENAVENTE,SAMORA CORREIA,TEJO,10,136800,219520,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
608/488,JK 1,FARO,TAVIRA,TAVIRA (SANTIAGO),RIBEIRAS DO ALGARVE,54,239400,17300,M15 - LUZ - TAVIRA,ABANDONADO
600/50,JK 10,FARO,VILA REAL DE SANTO ANTÓNIO,VILA REAL DE SANTO ANTÓNIO,GUADIANA,4.77,262758,24158,M17 - MONTE GORDO,EM SERVIÇO
606/985,JK 10,FARO,FARO,SANTA BÁRBARA DE NEXE,RIBEIRAS DO ALGARVE,82.79,215570,13770,M9 - ALMANSIL - MEDRONHAL,EM RESERVA
240/78,JK 11,COIMBRA,SOURE,ALFARELOS,MONDEGO,35,156310,353000,O31 - CONDEIXA - ALFARELOS,
208/4,JK 2,AVEIRO,ANADIA,-,VOUGA/RIBEIRAS COSTEIRAS,34,174200,386500,O3 - CÁRSICO DA BAIRRADA,
229/278,JK 2,COIMBRA,MONTEMOR-O-VELHO,-,MONDEGO,77,154606,363997,O5 - TENTÚGAL,
405/12,JK 2,SANTARÉM,BENAVENTE,SAMORA CORREIA,TEJO,5,136670,219600,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
602/360,JK 2,FARO,VILA DO BISPO,BUDENS,RIBEIRAS DO ALGARVE,30,141250,14100,M2 - ALMÁDENA - ODEÁXERE,ABANDONADO
606/971,JK 2,FARO,LOULÉ,QUARTEIRA,RIBEIRAS DO ALGARVE,22.26,201300,15900,M7 - QUARTEIRA,EM SERVIÇO
337/14,JK 21,LEIRIA,PENICHE,ATOUGUIA DA BALEIA,RIBEIRAS DO OESTE,45,100547,260102,O23 - PAÇO,
588/1,JK 3,FARO,LOULÉ,SALIR,RIBEIRAS DO ALGARVE,220.76,206900,30120,M5 - QUERENÇA - SILVES,ABANDONADO
600/63,JK 3,FARO,VILA REAL DE SANTO ANTÓNIO,VILA NOVA DE CACELA,RIBEIRAS DO ALGARVE,5.83,255256,23344,M16 - S. BARTOLOMEU,EM SERVIÇO
600/43,JK 3 S08,FARO,VILA REAL DE SANTO ANTÓNIO,VILA REAL DE SANTO ANTÓNIO,RIBEIRAS DO ALGARVE,6.52,262070,24120,M17 - MONTE GORDO,EM SERVIÇO
405/13,JK 3 CM,SANTARÉM,BENAVENTE,SAMORA CORREIA,TEJO,5,136790,219600,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
228/27,JK 31,COIMBRA,FIGUEIRA DA FOZ,-,LIS/RIBEIRAS COSTEIRAS,49,142700,363750,O1 - QUATERNÁRIO DE AVEIRO,
143/4,JK 4,AVEIRO,OVAR,CORTEGAÇA,VOUGA/RIBEIRAS COSTEIRAS,8.21,156990,440760,O1 - QUATERNÁRIO DE AVEIRO,
174/41,JK 4,AVEIRO,AVEIRO,ESGUEIRA,VOUGA/RIBEIRAS COSTEIRAS,31,159960,410980,O2 - CRETÁCICO DE AVEIRO,
588/2,JK 4,FARO,LOULÉ,SALIR,RIBEIRAS DO ALGARVE,222.93,207030,30020,M5 - QUERENÇA - SILVES,EM SERVIÇO
595/218,JK 4,FARO,SILVES,ALGOZ,RIBEIRAS DO ALGARVE,55,183500,20650,M0 - ORLA MERIDIONAL INDIFERENCIADO,ABANDONADO
608/29,JK 4,FARO,TAVIRA,TAVIRA (SANTIAGO),RIBEIRAS DO ALGARVE,44.95,240886,17515,M15 - LUZ - TAVIRA,ABANDONADO
600/44,JK 4 S09,FARO,VILA REAL DE SANTO ANTÓNIO,VILA REAL DE SANTO ANTÓNIO,GUADIANA,3.71,263179,24203,M17 - MONTE GORDO,EM SERVIÇO
600/45,JK 5,FARO,VILA REAL DE SANTO ANTÓNIO,VILA REAL DE SANTO ANTÓNIO,GUADIANA,4.31,263200,24950,M17 - MONTE GORDO,EM SERVIÇO
606/104,JK 5,FARO,LOULÉ,LOULÉ (SÃO SEBASTIÃO),RIBEIRAS DO ALGARVE,68.57,202650,18700,M7 - QUARTEIRA,EM SERVIÇO
606/647,JK 5,FARO,LOULÉ,ALMANSIL,RIBEIRAS DO ALGARVE,27.47,207250,11000,M12 - CAMPINA DE FARO,EM SERVIÇO
607/74,JK 5,FARO,FARO,ESTOI,RIBEIRAS DO ALGARVE,40.16,218318,12437,M10 - S. JOÃO DA VENDA - QUELFES,EM RESERVA
596/188,JK 5/JCS,FARO,SILVES,ALGOZ,RIBEIRAS DO ALGARVE,67,185420,23200,M5 - QUERENÇA - SILVES,EM RESERVA
185/74,JK 6,AVEIRO,AVEIRO,SANTA JOANA,VOUGA/RIBEIRAS COSTEIRAS,47,159040,407450,O2 - CRETÁCICO DE AVEIRO,
611/94,JK 6/TD 1,FARO,OLHÃO,PECHÃO,RIBEIRAS DO ALGARVE,24.89,224800,8728,M11 - CHÃO DE CEVADA - QUINTA JOÃO DE OURÉM,ABANDONADO
600/134,JK 7,FARO,VILA REAL DE SANTO ANTÓNIO,VILA NOVA DE CACELA,RIBEIRAS DO ALGARVE,33.51,250470,22330,M16 - S. BARTOLOMEU,EM SERVIÇO
297/94,JK 8,LEIRIA,BATALHA,GOLPILHEIRA,LIS/RIBEIRAS COSTEIRAS,54,140840,303070,O0 - ORLA OCIDENTAL INDIFERENCIADO,
604/63,JK 9,FARO,LAGOA,PORCHES,RIBEIRAS DO ALGARVE,45.5,176280,19443,M4 - FERRAGUDO - ALBUFEIRA,EM RESERVA
250/1,JK1,COIMBRA,CONDEIXA-A-NOVA,EGA,MONDEGO,44,165870,346801,O11 - SICÓ - ALVAIÁZERE,
250/36,JK1,COIMBRA,SOURE,GESTEIRA,MONDEGO,68,152957,343075,O7 - FIGUEIRA DA FOZ - GESTEIRA,
273/8,JK1,LEIRIA,LEIRIA,COIMBRÃO,LIS/RIBEIRAS COSTEIRAS,64,136480,328400,O10 - LEIROSA - MONTE REAL,EM SERVIÇO
296/3,JK1,LEIRIA,LEIRIA,MACEIRA,RIBEIRAS DO OESTE,167,132637,302224,O18 - MACEIRA,
297/4,JK1,LEIRIA,LEIRIA,AZOIA,LIS/RIBEIRAS COSTEIRAS,41,140800,304350,O0 - ORLA OCIDENTAL INDIFERENCIADO,
339/33,JK1,SANTARÉM,RIO MAIOR,RIO MAIOR,TEJO,78,129540,263670,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,
340/25,JK1,SANTARÉM,SANTARÉM,ABITUREIRAS,TEJO,97,144350,261150,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,
342/78,JK1,SANTARÉM,CHAMUSCA,CHAMUSCA,TEJO,18,169860,264430,T7 - ALUVIÕES DO TEJO,
364/114,JK1,SANTARÉM,CARTAXO,VALE DA PINTA,TEJO,95,140640,246150,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,
405/14,JK1,SANTARÉM,BENAVENTE,SANTO ESTÊVÃO,TEJO,10,147150,210220,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
406/99,JK1,SANTARÉM,CORUCHE,BISCAINHO,TEJO,50,155360,216110,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
432/69,JK1,SETÚBAL,ALCOCHETE,SAMOUCO,TEJO,11,124180,194920,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
453/235,JK1,SETÚBAL,ALMADA,CHARNECA DE CAPARICA,TEJO,64,108400,179220,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
442/528,JK12,SETÚBAL,SEIXAL,ARRENTELA,TEJO,29.7,115182,183303,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
374/20,JK13,LISBOA,TORRES VEDRAS,PONTE DO ROL,RIBEIRAS DO OESTE,72,98050,238450,O25 - TORRES VEDRAS,ENTULHADO
442/36,JK14,SETÚBAL,SEIXAL,CORROIOS,TEJO,30,112198.2,187241,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
228/11,JK15,COIMBRA,FIGUEIRA DA FOZ,QUIAIOS,VOUGA/RIBEIRAS COSTEIRAS,47,142520,363760,O1 - QUATERNÁRIO DE AVEIRO,
453/373,JK16,SETÚBAL,SEIXAL,AMORA,TEJO,20,111900,184670,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
350/2,JK2,LISBOA,CADAVAL,CADAVAL,RIBEIRAS DO OESTE,60,117000,253720,O0 - ORLA OCIDENTAL INDIFERENCIADO,
405/15,JK2,SANTARÉM,BENAVENTE,SANTO ESTÊVÃO,TEJO,10,147100,210180,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
432/68,JK2,SETÚBAL,ALCOCHETE,ALCOCHETE,TEJO,9,127596.6,197803,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
228/3,JK24,COIMBRA,FIGUEIRA DA FOZ,QUIAIOS,VOUGA/RIBEIRAS COSTEIRAS,49,142522,363802,O1 - QUATERNÁRIO DE AVEIRO,
207/3,JK3,AVEIRO,ANADIA,VILARINHO DO BAIRRO,VOUGA/RIBEIRAS COSTEIRAS,45,164637,386781,O2 - CRETÁCICO DE AVEIRO,
370/5,JK3,PORTALEGRE,ALTER DO CHÃO,ALTER DO CHÃO,TEJO,253,240960,247550,A3 - MONFORTE - ALTER DO CHÃO,
297/18,JK4,LEIRIA,LEIRIA,POUSOS,LIS/RIBEIRAS COSTEIRAS,80,143760,309000,O14 - POUSOS - CARANGUEJEIRA,
